101	As an American English speaker, I would have no trouble interpreting a reply of "you too!" if I told someone "good luck!" It functions the same as "same to you". When it comes to a holiday greeting, though, I have more often seen it where people add the "you too" to the original greeting. For example: Person A : Merry Christmas! Person B: Thanks, merry Christmas to you, too! If you'd prefer a simple rule, then "you too!" is acceptable on its own but it might make more sense when it's paired with the original greeting.
119	This makes sense only if the one giving you the good wishes is in the same situation as yourself. For instance, if someone wishes you a Happy Birthday, it's nonsensical to say 'You too!' unless they happen to share the same birth date. If someone wishes you 'Merry Christmas', it's a reasonable assumption that they are Christian, or that they do at least recognize and celebrate the Christmas holiday, so it's fine to respond with 'you too', or more properly, "Merry Christmas to you too!"
138	You too! is colloquially used; one can consider using The same to you! or A Merry Christmas to you too! for much formal events.
379	According to English grammar, if an auxiliary verb ("to do", in this case) is present, it is the only one that conjugates, while the main verb remains in the bare infinitive form. The sentence with "if" does not have an auxiliary verb, so in that case the verb "know" conjugates; while in the sentence with "does", "know" stays in the infinitive form. Consider: Anyone knows; if anyone knows; maybe anyone knows; Anyone does not know; Does anyone know?; Anyone does know; Although the form "subject + does + verb" is not popular, it is pretty grammatical. This form is principally used to emphasize a fact, particularly to contradict a previous assertion, with emphasis on "does": "I don't think anyone knows." "This can't be. Someone does know!"*
589	"You too" is an abbreviation of a repeat of the sender's statement, for example: Merry Christmas! [Merry Christmas to] You too! This is entirely valid spoken English (it's very informal in written English), but be careful of when you don't want to return the greeting in its exact form. For example, the following is fine when both you and your friend are heading home from work: Have a safe trip home! You too! But the previous conversation is wrong (but usually obviously and inoffensively wrong) if the first person is not travelling home, for instance if the second person were leaving the first's house after a visit. In such a circumstance, one would normally have to think of an alternative response, for example: Have a safe trip home! Thanks! Have a great evening!
1495	Compulsory (“Required; obligatory; mandatory”), mandatory (“Obligatory; required or commanded by authority”), and obligatory (“Imposing obligation, morally or legally; binding”) have related and similar meanings. There are many examples where one of those words could be used in place of another, but in some areas, set phrases arise; for example, compulsory education, compulsory service, mandatory minimum sentences, mandatory retirement, obligatory treatment. For further examples, click the book links at ngrams for compulsory,mandatory,obligatory. Also see ELU question Are the words “mandatory,” “obligatory,” and “compulsory” interchangeable? and similar questions at other sites (1, 2, 3, 4, 5). The differencebetween page is quite informative: Mandatory and Compulsory are two words that are often confused when it comes to their meanings and connotations. Strictly speaking, there is some difference between the two words. The word ‘mandatory’ is generally used in the sense of ‘binding’. On the other hand, the word ‘compulsory’ is generally used in the sense of ‘essential’. This is the main difference between the two words. It is important to note that anything that is mandatory has the quality of binding the doer to the work. On the other hand, anything that is compulsory has to be essentially done without postponement. The word ‘compulsory’ often refers to things or requirements. On the other hand, the word ‘mandatory’ often refers to conditions. ...
4143	The answer to this question will vary depending on the season, as the winter months have shorter days and the summer months have longer days. Furthermore, there is no standard set of times that are universally accepted That being said, here is my classification of times: Morning is from sunrise to 11:59 AM. Sunrise typically occurs around 6 AM. Noon is at 12:00 PM. Afternoon is from 12:01 PM to around 5:00 PM. Evening is from 5:01 PM to 8 PM, or around sunset. Night is from sunset to sunrise, so from 8:01 PM until 5:59 AM. This is just a general outline - it's more common to categorize these times based upon one's activities. For example, we eat breakfast in the morning and dinner in the evening.
6133	The authors of the Oxford Learner's Thesaurus argue that "compulsory is used especially in the contexts of education, business, and employment. Mandatory is used especially in the context of the law. Obligatory is often used to talk about rules and laws relating to safety, for example in sport or the workplace." The authors of the Longman Collocations Dictionary add that mandatory is more formal than compulsory or obligatory and sounds stronger. Obligatory can also be used humorously. It is almost never used in the attributive position.
10796	Words like "data" are tricky, as both data can be used singular and plural. If it was something like "If all the pieces of data are correct....." then the subject in this case is singular, as there are multiple pieces of singular data. But in your case, the correct sentence is ...all the data submitted is correct because its a single piece of data.
10821	Answer: either form is fine. Data is typically treated in contemporary English as a "mass noun", an undifferentiated collection (like "sand") that takes the singular "is". This is the most common usage today. But it CAN also be treated as a plural of "datum" and take "are" with equal ease and correctness. If we recast the sentence with an explicit plural noun: "In this section you can make a payment: verify carefully that all the answers submitted ARE correct and confirm by clicking the Proceed button." then you must use "are". If there was prior discussion of "data items" or the like, then the established context may cause the plural treatment to be preferred for continuity.
